id,titre,createur,date,image_url,lieu,genre,mouvement,wikidata_url
Q18659594,Q18659594,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18659594
Q18659849,Q18659849,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18659849
Q18659886,Q18659886,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18659886
Q18659972,Q18659972,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18659972
Q18660456,Q18660456,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18660456
Q18660688,Q18660688,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18660688
Q18660872,Q18660872,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18660872
Q18661060,Q18661060,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18661060
Q18661081,Q18661081,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18661081
Q18661530,Q18661530,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18661530
Q18661611,Q18661611,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18661611
Q18661687,Q18661687,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18661687
Q18661705,Q18661705,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18661705
Q18661833,Q18661833,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18661833
Q18662365,Q18662365,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18662365
Q18662440,Q18662440,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18662440
Q18662543,Q18662543,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18662543
Q18662581,Q18662581,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18662581
Q18662774,Q18662774,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18662774
Q18662907,Q18662907,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18662907
Q18681725,Q18681725,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681725
Q18681740,Q18681740,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681740
Q18681774,Q18681774,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681774
Q18681773,Q18681773,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681773
Q18681831,Q18681831,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681831
Q18681849,Q18681849,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681849
Q18681866,Q18681866,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681866
Q18681876,Q18681876,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681876
Q18681882,Q18681882,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681882
Q18681928,Q18681928,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681928
Q18681942,Q18681942,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681942
Q18681943,Q18681943,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681943
Q18681948,Q18681948,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18681948
Q18682031,Q18682031,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682031
Q18682039,Q18682039,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682039
Q18682052,Q18682052,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682052
Q18682086,Q18682086,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682086
Q18682100,Q18682100,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682100
Q18682107,Q18682107,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682107
Q18682115,Q18682115,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682115
Q18682148,Q18682148,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682148
Q18682191,Q18682191,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682191
Q18682188,Q18682188,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682188
Q18682192,Q18682192,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682192
Q18682198,Q18682198,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682198
Q18682236,Q18682236,Artiste inconnu,,,Lieu inconnu,,,http://www.wikidata.org/entity/Q18682236
